mfh_id,official_name,normalized_name,alias_names,alias_pinyin,source_batch,source_year,announcement_no,restriction_note,source_url,status,herb_id,herb_link,herb_pinyin_name,herb_chinese_name,herb_english_name,herb_latin_name,match_confidence,source_database,compound_name_cn,compound_name_en,pubchem_query_name,compound_category,include_for_model,exclusion_reason,evidence_note,evidence_source_url,pubchem_cid,pubchem_canonical_smiles,pubchem_isomeric_smiles,pubchem_formula,pubchem_molecular_weight,pubchem_inchi,pubchem_inchikey,rdkit_valid,rdkit_error,standardized_smiles,standardized_inchi,standardized_inchikey,rdkit_formula,rdkit_exact_mw,rdkit_heavy_atom_count
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,胆甾醇,cholesterol,cholesterol,single_small_molecule,True,,干燥蝮蛇/全体成分,https://www.cntcm.org/yao/fushe.html;https://cloudtcm.com/herb/4238,5997,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,C27H46O,386.7,"InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9,18-19,21-25,28H,6-8,10-17H2,1-5H3/t19-,21+,22+,23-,24+,25+,26+,27-/m1/s1",HVYWMOMLDIMFJA-DPAQBDIFSA-N,True,,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,"InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9,18-19,21-25,28H,6-8,10-17H2,1-5H3",HVYWMOMLDIMFJA-UHFFFAOYSA-N,C27H46O,386.35486609199995,28
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,牛磺酸,taurine,taurine,single_small_molecule,True,,干燥蝮蛇/全体成分,https://www.cntcm.org/yao/fushe.html;https://cloudtcm.com/herb/4238,1123,C(CS(=O)(=O)O)N,C(CS(=O)(=O)O)N,C2H7NO3S,125.15,"InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)",XOAAWQZATWQOTB-UHFFFAOYSA-N,True,,NCCS(=O)(=O)O,"InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)",XOAAWQZATWQOTB-UHFFFAOYSA-N,C2H7NO3S,125.014664084,7
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,油酸,oleic acid,oleic acid,single_small_molecule,True,,CloudTCM 成分列表,https://cloudtcm.com/herb/4238,445639,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCCCC/C=C\CCCCCCCC(=O)O,C18H34O2,282.5,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-",ZQPPMHVWECSIRJ-KTKRTIGZSA-N,True,,CCCCCCCCC=CCCCCCCCC(=O)O,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)",ZQPPMHVWECSIRJ-UHFFFAOYSA-N,C18H34O2,282.255880328,20
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,亚油酸,linoleic acid,linoleic acid,single_small_molecule,True,,CloudTCM 成分列表,https://cloudtcm.com/herb/4238,5280450,CCCCCC=CCC=CCCCCCCCC(=O)O,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,C18H32O2,280.4,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-",OYHQOLUKZRVURQ-HZJYTTRNSA-N,True,,CCCCCC=CCC=CCCCCCCCC(=O)O,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)",OYHQOLUKZRVURQ-UHFFFAOYSA-N,C18H32O2,280.240230264,20
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,花生四烯酸,arachidonic acid,arachidonic acid,single_small_molecule,True,,CloudTCM 成分列表,https://cloudtcm.com/herb/4238,444899,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,C20H32O2,304.5,"InChI=1S/C20H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-,16-15-",YZXBAPSDXZZRGB-DOFZRALJSA-N,True,,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,"InChI=1S/C20H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H,21,22)",YZXBAPSDXZZRGB-UHFFFAOYSA-N,C20H32O2,304.240230264,22
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,癸酸,capric acid,decanoic acid,single_small_molecule,True,,CloudTCM 成分列表,https://cloudtcm.com/herb/4238,2969,CCCCCCCCCC(=O)O,CCCCCCCCCC(=O)O,C10H20O2,172.26,"InChI=1S/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2,1H3,(H,11,12)",GHVNFZFCNZKVNT-UHFFFAOYSA-N,True,,CCCCCCCCCC(=O)O,"InChI=1S/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2,1H3,(H,11,12)",GHVNFZFCNZKVNT-UHFFFAOYSA-N,C10H20O2,172.14632988,12
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,二十一烷酸,heneicosanoic acid,heneicosanoic acid,single_small_molecule,True,,CloudTCM 成分列表,https://cloudtcm.com/herb/4238,16898,CCCCCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCCCCC(=O)O,C21H42O2,326.6,"InChI=1S/C21H42O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21(22)23/h2-20H2,1H3,(H,22,23)",CKDDRHZIAZRDBW-UHFFFAOYSA-N,True,,CCCCCCCCCCCCCCCCCCCCC(=O)O,"InChI=1S/C21H42O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21(22)23/h2-20H2,1H3,(H,22,23)",CKDDRHZIAZRDBW-UHFFFAOYSA-N,C21H42O2,326.31848058399993,23
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,二十烷酸,eicosanoic acid,arachidic acid,single_small_molecule,True,,CloudTCM 成分列表,https://cloudtcm.com/herb/4238,10467,CCCCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCCCC(=O)O,C20H40O2,312.5,"InChI=1S/C20H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h2-19H2,1H3,(H,21,22)",VKOBVWXKNCXXDE-UHFFFAOYSA-N,True,,CCCCCCCCCCCCCCCCCCCC(=O)O,"InChI=1S/C20H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h2-19H2,1H3,(H,21,22)",VKOBVWXKNCXXDE-UHFFFAOYSA-N,C20H40O2,312.30283052,22
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,十八烷酸,octadecanoic acid,stearic acid,single_small_molecule,True,,CloudTCM 成分列表,https://cloudtcm.com/herb/4238,5281,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCC(=O)O,C18H36O2,284.5,"InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)",QIQXTHQIDYTFRH-UHFFFAOYSA-N,True,,CCCCCCCCCCCCCCCCCC(=O)O,"InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)",QIQXTHQIDYTFRH-UHFFFAOYSA-N,C18H36O2,284.271530392,20
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,十七烷酸,heptadecanoic acid,heptadecanoic acid,single_small_molecule,True,,CloudTCM 成分列表,https://cloudtcm.com/herb/4238,10465,CCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCC(=O)O,C17H34O2,270.5,"InChI=1S/C17H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H,18,19)",KEMQGTRYUADPNZ-UHFFFAOYSA-N,True,,CCCCCCCCCCCCCCCCC(=O)O,"InChI=1S/C17H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H,18,19)",KEMQGTRYUADPNZ-UHFFFAOYSA-N,C17H34O2,270.255880328,19
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,十六烷酸,hexadecanoic acid,palmitic acid,single_small_molecule,True,,CloudTCM 成分列表,https://cloudtcm.com/herb/4238,985,CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCC(=O)O,C16H32O2,256.42,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N,True,,CCCCCCCCCCCCCCCC(=O)O,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N,C16H32O2,256.240230264,18
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,磷酸乙醇胺,phosphorylethanolamine,O-phosphoethanolamine,single_small_molecule,True,,CloudTCM 成分列表,https://cloudtcm.com/herb/4238,1015,C(COP(=O)(O)O)N,C(COP(=O)(O)O)N,C2H8NO4P,141.06,"InChI=1S/C2H8NO4P/c3-1-2-7-8(4,5)6/h1-3H2,(H2,4,5,6)",SUHOOTKUPISOBE-UHFFFAOYSA-N,True,,NCCOP(=O)(O)O,"InChI=1S/C2H8NO4P/c3-1-2-7-8(4,5)6/h1-3H2,(H2,4,5,6)",SUHOOTKUPISOBE-UHFFFAOYSA-N,C2H8NO4P,141.01909436600002,8
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,磷酸胆碱,phosphorylcholine,phosphocholine,single_small_molecule,True,,CloudTCM 成分列表,https://cloudtcm.com/herb/4238,1014,C[N+](C)(C)CCOP(=O)(O)O,C[N+](C)(C)CCOP(=O)(O)O,C5H15NO4P+,184.15,"InChI=1S/C5H14NO4P/c1-6(2,3)4-5-10-11(7,8)9/h4-5H2,1-3H3,(H-,7,8,9)/p+1",YHHSONZFOIEMCP-UHFFFAOYSA-O,True,,C[N+](C)(C)CCOP(=O)(O)O,"InChI=1S/C5H14NO4P/c1-6(2,3)4-5-10-11(7,8)9/h4-5H2,1-3H3,(H-,7,8,9)/p+1",YHHSONZFOIEMCP-UHFFFAOYSA-O,C5H15NO4P+,184.07332101008998,11
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,磷酸丝氨酸,phosphoserine,O-phospho-L-serine,single_small_molecule,True,,CloudTCM 成分列表,https://cloudtcm.com/herb/4238,68841,C(C(C(=O)O)N)OP(=O)(O)O,C([C@@H](C(=O)O)N)OP(=O)(O)O,C3H8NO6P,185.07,"InChI=1S/C3H8NO6P/c4-2(3(5)6)1-10-11(7,8)9/h2H,1,4H2,(H,5,6)(H2,7,8,9)/t2-/m0/s1",BZQFBWGGLXLEPQ-REOHCLBHSA-N,True,,NC(COP(=O)(O)O)C(=O)O,"InChI=1S/C3H8NO6P/c4-2(3(5)6)1-10-11(7,8)9/h2H,1,4H2,(H,5,6)(H2,7,8,9)",BZQFBWGGLXLEPQ-UHFFFAOYSA-N,C3H8NO6P,185.00892360600002,11
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,脂肪,fat,,generic_class,False,泛称，不是单一结构,蝮蛇成分记录，但不适合当前小分子结构模型,https://www.cntcm.org/yao/fushe.html;https://cloudtcm.com/herb/4238,,,,,,,,False,泛称，不是单一结构,,,,,,
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,脂质,lipid,,generic_class,False,泛称，不是单一结构,蝮蛇成分记录，但不适合当前小分子结构模型,https://www.cntcm.org/yao/fushe.html;https://cloudtcm.com/herb/4238,,,,,,,,False,泛称，不是单一结构,,,,,,
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,挥发油,volatile oil,,mixture,False,混合物，不是单一结构,蝮蛇成分记录，但不适合当前小分子结构模型,https://www.cntcm.org/yao/fushe.html;https://cloudtcm.com/herb/4238,,,,,,,,False,混合物，不是单一结构,,,,,,
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,奇数碳脂肪酸,odd-chain fatty acids,,generic_class,False,泛称，不是单一结构,蝮蛇成分记录，但不适合当前小分子结构模型,https://www.cntcm.org/yao/fushe.html;https://cloudtcm.com/herb/4238,,,,,,,,False,泛称，不是单一结构,,,,,,
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,磷脂,phospholipid,,generic_class,False,泛称，不是单一结构,蝮蛇成分记录，但不适合当前小分子结构模型,https://www.cntcm.org/yao/fushe.html;https://cloudtcm.com/herb/4238,,,,,,,,False,泛称，不是单一结构,,,,,,
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,三酰甘油,triglyceride,,generic_class,False,泛称，不是单一结构,蝮蛇成分记录，但不适合当前小分子结构模型,https://www.cntcm.org/yao/fushe.html;https://cloudtcm.com/herb/4238,,,,,,,,False,泛称，不是单一结构,,,,,,
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,磷酸肌醇,phosphoinositide,,generic_class,False,泛称/脂质类别，不是单一结构,蝮蛇成分记录，但不适合当前小分子结构模型,https://www.cntcm.org/yao/fushe.html;https://cloudtcm.com/herb/4238,,,,,,,,False,泛称/脂质类别，不是单一结构,,,,,,
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,神经鞘磷脂,sphingomyelin,,generic_class,False,泛称/脂质类别，不是单一结构,蝮蛇成分记录，但不适合当前小分子结构模型,https://www.cntcm.org/yao/fushe.html;https://cloudtcm.com/herb/4238,,,,,,,,False,泛称/脂质类别，不是单一结构,,,,,,
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,卵磷脂酶,phospholipase,,protein_or_enzyme,False,蛋白/酶，不适合当前小分子模型,蝮蛇成分记录，但不适合当前小分子结构模型,https://www.cntcm.org/yao/fushe.html;https://cloudtcm.com/herb/4238,,,,,,,,False,蛋白/酶，不适合当前小分子模型,,,,,,
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,出血毒质,hemorrhagic toxin,,protein_or_toxin,False,毒素类大分子，不适合当前小分子模型,蝮蛇成分记录，但不适合当前小分子结构模型,https://www.cntcm.org/yao/fushe.html;https://cloudtcm.com/herb/4238,,,,,,,,False,毒素类大分子，不适合当前小分子模型,,,,,,
